LSOA11CD,cyclingmean,cyclingmedian,cyclingmax,walkingmean,walkingmedian,walkingmax,multi_d,health,car
E01028513,387.69106924909,389.21141,568.03142,1292.4089113042,1298.087,1892.5096,32.854,0.498,0.72
E01028514,376.795058285568,376.12116,462.45598,1256.28247322581,1254.1829,1540.5216,36.998,0.651,0.74
E01028515,478.01730525823,506.15358,601.40296,1593.05782479988,1686.27,2005.0588,9.909,-0.586,0.84
E01028516,339.089644657058,367.22276,561.16024,1130.20162685448,1223.2408,1871.6842,24.433,-0.043,0.77
E01028517,368.365407610665,385.34532,509.58837,1229.0933088733,1287.8918,1692.0186,35.106,0.597,0.76
E01028518,288.448562832069,302.105715,363.75151,961.400223419633,1007.71605,1219.514,39.335,0.769,0.68
E01028519,229.577785768588,252.94703,429.08144,764.893155330687,841.45266,1430.4738,30.066,0.585,0.74
E01028520,389.310887333333,392.19519,489.31811,1297.81605219849,1307.603,1628.7485,39.519,0.574,0.68
E01028521,163.380566752024,149.50616,329.5186,544.766538678615,498.51836,1100.9227,12.472,-0.969,0.65
E01028522,96.5234461065026,90.1231555,267.20161,321.960427452954,302.38853,895.59489,37.613,2.023,0.6
E01028523,300.173539422111,306.933235,408.96879,1000.73692966661,1023.2772,1360.6898,16.511,-0.052,0.72
E01028524,123.315394639936,110.85973,337.1659,410.166506610637,369.43985,1123.5031,27.863,0.828,0.68
E01028525,180.668854174734,167.84955,568.75624,601.289503229355,559.854135,1884.2764,26.724,0.431,0.7
E01028526,278.337254055713,273.67826,413.30888,927.673185723396,911.82963,1370.649,13.354,-0.603,0.73
E01028527,147.746288507657,151.59517,231.84152,492.414839314634,504.537145,774.87909,10.669,-0.182,0.78
E01028528,107.837422399124,109.60482,254.73028,359.620417323787,364.717595,851.86855,15.581,-0.413,0.78
E01028529,222.236009419372,228.266895,367.22837,740.862590424414,759.42488,1224.0529,23.376,0.323,0.68
E01028530,103.632137048663,91.436167,337.47182,345.368248981361,304.85837,1114.071,17.584,-0.195,0.76
E01028531,301.258508302359,317.84218,388.78865,1004.22927253131,1059.6689,1298.0157,8.357,-0.388,0.76
E01028532,261.976868725629,264.91976,410.04383,873.267267946419,883.07437,1367.8567,23.335,0,0.73
E01028533,214.234079268008,207.366,331.62468,714.942747342067,692.10035,1109.4212,16.576,0.135,0.73
E01028534,152.022923118424,156.47644,277.67587,507.195378561375,522.399235,926.16505,4.453,-0.423,0.8
E01028535,124.869254034891,121.101905,287.41815,415.721242276856,402.085675,958.46549,6.482,-0.601,0.78
E01028536,167.601448463584,162.32362,270.988,558.457657242634,540.64526,903.96518,8.473,-0.055,0.75
E01028537,156.179944177721,143.170675,446.94842,520.913495352523,478.23989,1508.839,6.802,-0.385,0.69
E01028538,234.273726297039,235.06963,342.60416,780.526384211394,782.91186,1138.5501,20.241,0.545,0.74
E01028539,111.196700546063,105.54059,229.23059,370.44789230292,350.53122,746.57574,9.193,-0.622,0.8
